species_key	species_status	species_reason	assemblies	callable_assemblies	intact_assemblies	high_intact_assemblies	supported_disrupted_assemblies	status_counts	accessions
Capra nubiana	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	2	2	0	0	2	"{""DISRUPTED_STRONG"": 2}"	GCA_054855995.1;GCA_054856215.1
Capra sibirica	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_003182615.2
Capreolus capreolus	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	2	2	0	0	2	"{""DISRUPTED_STRONG"": 2}"	GCA_000751575.1;GCA_951849835.1
Capreolus pygargus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_012922965.1
Capricornis sumatraensis	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	2	2	0	0	2	"{""DISRUPTED_STRONG"": 2}"	GCA_032405125.2;GCF_032405125.1
Cephalophula zebra	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	2	2	0	0	2	"{""DISRUPTED_STRONG"": 2}"	GCA_054099735.1;GCA_054099755.1
Cephalophus harveyi	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410635.1
Cervus albirostris	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	2	1	0	0	1	"{""DISRUPTED_STRONG"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006408465.1;GCA_046563475.2
Cervus canadensis	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	2	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_019320065.1;GCF_019320065.1
Cervus elaphus	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	5	4	0	0	4	"{""DISRUPTED_STRONG"": 4, ""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_002197005.1;GCA_910594005.1;GCA_910593805.2;GCA_910594005.2;GCF_910594005.1
Cervus hanglu	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_010411085.1
Cervus nippon	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	5	5	0	0	5	"{""DISRUPTED_STRONG"": 5}"	GCA_034195675.1;GCA_038088365.1;GCA_040085125.1;GCA_052324755.1;GCA_054829135.1
Connochaetes taurinus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006408615.1
Dama dama	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	4	4	0	0	4	"{""DISRUPTED_STRONG"": 4}"	GCA_033118175.2;GCA_048127045.1;GCA_048126745.1;GCF_033118175.1
Damaliscus lunatus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006408505.1
Elaphurus davidianus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	2	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_002443075.1;GCA_021018665.1
Eudorcas thomsonii	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006408755.1
Giraffa camelopardalis	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	3	1	0	0	1	"{""DISRUPTED_STRONG"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_006408565.1;GCA_017591445.1;GCA_018282235.1
Giraffa tippelskirchi	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	7	5	0	0	5	"{""DISRUPTED_STRONG"": 5, ""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_001651235.1;GCA_013496395.1;GCA_054371575.1;GCA_054371585.1;GCA_054371615.1;GCA_054371825.1;GCF_054371585.1
Hippotragus equinus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_016433095.1
Hippotragus niger	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006942125.1
Hydropotes inermis	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	3	1	0	0	1	"{""DISRUPTED_STRONG"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_006459105.1;GCA_020226075.1;GCA_056247825.1
Kobus ellipsiprymnus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410655.1
Kobus leche	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_014926565.1
Litocranius walleri	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410535.1
Madoqua kirkii	DISRUPTED_POSSIBLE	Some disruption evidence exists but is not strong enough for a species-level loss call.	1	1	0	0	0	"{""DISRUPTED_POSSIBLE"": 1}"	GCA_006408675.1
Megaloceros giganteus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	2	0	0	0	0	"{""UNRESOLVED"": 2}"	GCA_905120125.1;GCA_905120135.1
Moschus berezovskii	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	5	3	0	0	3	"{""DISRUPTED_STRONG"": 3, ""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_006459085.1;GCA_006461545.1;GCA_022376915.1;GCA_049115385.1;GCF_022376915.1
Moschus chrysogaster	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006461725.1
Moschus moschiferus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	2	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_004024705.2;GCA_011751665.1
Muntiacus crinifrons	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	3	3	0	0	3	"{""DISRUPTED_STRONG"": 3}"	GCA_006408485.1;GCA_020226055.1;GCA_020276665.1
Muntiacus feae	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	1	1	0	0	1	"{""DISRUPTED_STRONG"": 1}"	GCA_059698765.1
Muntiacus gongshanensis	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	1	1	0	0	1	"{""DISRUPTED_STRONG"": 1}"	GCA_020226025.1
Muntiacus muntjak	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	3	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 3}"	GCA_006409035.1;GCA_008931205.1;GCA_008782695.1
Muntiacus reevesi	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	7	5	0	0	5	"{""DISRUPTED_STRONG"": 5, ""UNRESOLVED"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006408525.1;GCA_008787405.2;GCA_020226045.1;GCA_963930625.2;GCA_963930625.1;GCA_963930665.2;GCF_963930625.1
Muntiacus vaginalis	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	1	1	0	0	1	"{""DISRUPTED_STRONG"": 1}"	GCA_039877825.1
Nanger dama	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	2	1	0	0	1	"{""DISRUPTED_STRONG"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_019969365.1;GCA_917880005.1
Nanger granti	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006408635.1
Neotragus moschatus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410615.1
Neotragus pygmaeus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410875.1
Nilgiritragus hylocrius	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	1	1	0	0	1	"{""DISRUPTED_STRONG"": 1}"	GCA_004026825.1
