model,branch_set,mode,omega,proportion_percent,run_type,replicate
null,reference,Negative selection,0.074,50.585,SRV,9
null,reference,Negative selection,0.355,46.909,SRV,9
null,test,Diversifying selection,1.031,2.506,SRV,9
null,test,Negative selection,0.074,50.585,SRV,9
null,test,Negative selection,0.355,46.909,SRV,9
alternative,reference,Diversifying selection,1.147,3.021,SRV,10
alternative,reference,Negative selection,0.145,83.177,SRV,10
alternative,reference,Negative selection,0.505,13.802,SRV,10
alternative,test,Diversifying selection,1.125,3.021,SRV,10
alternative,test,Diversifying selection,1.147,3.021,SRV,10
alternative,test,Negative selection,0.191,83.177,SRV,10
alternative,test,Negative selection,0.946,13.802,SRV,10
alternative,test,Negative selection,0.145,83.177,SRV,10
alternative,test,Negative selection,0.505,13.802,SRV,10
null,reference,Diversifying selection,3.277,0.206,SRV,10
null,reference,Negative selection,0.111,69.303,SRV,10
null,reference,Negative selection,0.462,30.49,SRV,10
null,test,Diversifying selection,3.277,0.206,SRV,10
null,test,Negative selection,0.111,69.303,SRV,10
null,test,Negative selection,0.462,30.49,SRV,10
alternative,reference,Diversifying selection,1.75,0.0,SRV+Double,1
alternative,reference,Negative selection,0.001,13.305,SRV+Double,1
alternative,reference,Negative selection,0.245,86.695,SRV+Double,1
alternative,test,Diversifying selection,1.519,0.0,SRV+Double,1
alternative,test,Diversifying selection,1.75,0.0,SRV+Double,1
alternative,test,Negative selection,0.004,13.305,SRV+Double,1
alternative,test,Negative selection,0.35,86.695,SRV+Double,1
alternative,test,Negative selection,0.001,13.305,SRV+Double,1
alternative,test,Negative selection,0.245,86.695,SRV+Double,1
null,reference,Diversifying selection,3.291,0.0,SRV+Double,1
null,reference,Negative selection,0.0,18.102,SRV+Double,1
null,reference,Negative selection,0.27,81.898,SRV+Double,1
null,test,Diversifying selection,3.291,0.0,SRV+Double,1
null,test,Negative selection,0.0,18.102,SRV+Double,1
null,test,Negative selection,0.27,81.898,SRV+Double,1
alternative,reference,Negative selection,0.0,9.356,SRV+Double,2
alternative,reference,Negative selection,0.225,89.263,SRV+Double,2
alternative,reference,Neutral evolution,1.0,1.381,SRV+Double,2
alternative,test,Negative selection,0.003,9.356,SRV+Double,2
alternative,test,Negative selection,0.325,89.263,SRV+Double,2
alternative,test,Negative selection,0.0,9.356,SRV+Double,2
alternative,test,Negative selection,0.225,89.263,SRV+Double,2
alternative,test,Neutral evolution,1.0,1.381,SRV+Double,2
alternative,test,Neutral evolution,1.0,1.381,SRV+Double,2
null,reference,Diversifying selection,1.009,0.0,SRV+Double,2
null,reference,Negative selection,0.0,20.453,SRV+Double,2
null,reference,Negative selection,0.279,79.547,SRV+Double,2
null,test,Diversifying selection,1.009,0.0,SRV+Double,2
null,test,Negative selection,0.0,20.453,SRV+Double,2
null,test,Negative selection,0.279,79.547,SRV+Double,2
alternative,reference,Diversifying selection,3.886,0.0,SRV+Double,3
alternative,reference,Negative selection,0.185,92.739,SRV+Double,3
alternative,reference,Negative selection,0.583,7.261,SRV+Double,3
alternative,test,Diversifying selection,2.819,0.0,SRV+Double,3
alternative,test,Diversifying selection,3.886,0.0,SRV+Double,3
alternative,test,Negative selection,0.276,92.739,SRV+Double,3
alternative,test,Negative selection,0.662,7.261,SRV+Double,3
alternative,test,Negative selection,0.185,92.739,SRV+Double,3
alternative,test,Negative selection,0.583,7.261,SRV+Double,3
null,reference,Diversifying selection,1.422,0.0,SRV+Double,3
null,reference,Negative selection,0.189,92.556,SRV+Double,3
null,reference,Negative selection,0.616,7.444,SRV+Double,3
null,test,Diversifying selection,1.422,0.0,SRV+Double,3
null,test,Negative selection,0.189,92.556,SRV+Double,3
null,test,Negative selection,0.616,7.444,SRV+Double,3
alternative,reference,Diversifying selection,1.012,0.0,SRV+Double,4
alternative,reference,Negative selection,0.155,81.366,SRV+Double,4
alternative,reference,Negative selection,0.483,18.634,SRV+Double,4
alternative,test,Diversifying selection,1.009,0.0,SRV+Double,4
alternative,test,Diversifying selection,1.012,0.0,SRV+Double,4
alternative,test,Negative selection,0.244,81.366,SRV+Double,4
alternative,test,Negative selection,0.576,18.634,SRV+Double,4
alternative,test,Negative selection,0.155,81.366,SRV+Double,4
alternative,test,Negative selection,0.483,18.634,SRV+Double,4
null,reference,Diversifying selection,1.76,0.0,SRV+Double,4
null,reference,Negative selection,0.158,80.356,SRV+Double,4
null,reference,Negative selection,0.487,19.644,SRV+Double,4
null,test,Diversifying selection,1.76,0.0,SRV+Double,4
null,test,Negative selection,0.158,80.356,SRV+Double,4
null,test,Negative selection,0.487,19.644,SRV+Double,4
alternative,reference,Diversifying selection,1.006,0.0,SRV+Double,5
alternative,reference,Negative selection,0.086,46.72,SRV+Double,5
alternative,reference,Negative selection,0.33,53.28,SRV+Double,5
alternative,test,Diversifying selection,1.004,0.0,SRV+Double,5
alternative,test,Diversifying selection,1.006,0.0,SRV+Double,5
alternative,test,Negative selection,0.159,46.72,SRV+Double,5
alternative,test,Negative selection,0.436,53.28,SRV+Double,5
alternative,test,Negative selection,0.086,46.72,SRV+Double,5
alternative,test,Negative selection,0.33,53.28,SRV+Double,5
null,reference,Diversifying selection,1.998,0.0,SRV+Double,5
null,reference,Negative selection,0.089,45.785,SRV+Double,5
null,reference,Negative selection,0.335,54.215,SRV+Double,5
null,test,Diversifying selection,1.998,0.0,SRV+Double,5
null,test,Negative selection,0.089,45.785,SRV+Double,5
null,test,Negative selection,0.335,54.215,SRV+Double,5
alternative,reference,Diversifying selection,1.008,0.0,SRV+Double,6
alternative,reference,Negative selection,0.139,73.02,SRV+Double,6
alternative,reference,Negative selection,0.429,26.98,SRV+Double,6
alternative,test,Diversifying selection,1.006,0.0,SRV+Double,6
alternative,test,Diversifying selection,1.008,0.0,SRV+Double,6
alternative,test,Negative selection,0.225,73.02,SRV+Double,6
alternative,test,Negative selection,0.528,26.98,SRV+Double,6
alternative,test,Negative selection,0.139,73.02,SRV+Double,6
alternative,test,Negative selection,0.429,26.98,SRV+Double,6
null,reference,Diversifying selection,2.1,0.0,SRV+Double,6
null,reference,Negative selection,0.142,71.977,SRV+Double,6
null,reference,Negative selection,0.431,28.023,SRV+Double,6
null,test,Diversifying selection,2.1,0.0,SRV+Double,6
null,test,Negative selection,0.142,71.977,SRV+Double,6
null,test,Negative selection,0.431,28.023,SRV+Double,6
alternative,reference,Diversifying selection,3.187,0.0,SRV+Double,7
alternative,reference,Negative selection,0.167,86.176,SRV+Double,7
alternative,reference,Negative selection,0.52,13.824,SRV+Double,7
alternative,test,Diversifying selection,2.413,0.0,SRV+Double,7
alternative,test,Diversifying selection,3.187,0.0,SRV+Double,7
alternative,test,Negative selection,0.256,86.176,SRV+Double,7
alternative,test,Negative selection,0.609,13.824,SRV+Double,7
alternative,test,Negative selection,0.167,86.176,SRV+Double,7
alternative,test,Negative selection,0.52,13.824,SRV+Double,7
null,reference,Diversifying selection,1.11,0.0,SRV+Double,7
null,reference,Negative selection,0.172,85.811,SRV+Double,7
null,reference,Negative selection,0.527,14.189,SRV+Double,7
null,test,Diversifying selection,1.11,0.0,SRV+Double,7
null,test,Negative selection,0.172,85.811,SRV+Double,7
null,test,Negative selection,0.527,14.189,SRV+Double,7
alternative,reference,Diversifying selection,1.011,0.0,SRV+Double,8
alternative,reference,Negative selection,0.142,73.533,SRV+Double,8
alternative,reference,Negative selection,0.421,26.467,SRV+Double,8
alternative,test,Diversifying selection,1.008,0.0,SRV+Double,8
alternative,test,Diversifying selection,1.011,0.0,SRV+Double,8
alternative,test,Negative selection,0.228,73.533,SRV+Double,8
