species	tree_id	in_tree	species_status	assembly_status	callable_fraction	reconstructed_fraction	n_fraction	internal_stop_count_naive	frame_remainder	supported_events	quality_score	strict_species_intact	conflicting_fallback_eligible	selected	selection_tier	rejection_reason
Megaloceros giganteus	Megaloceros_giganteus	True	UNRESOLVED	UNRESOLVED	0.0	0.0	1.0	0	0	0	6.0	False	False	False		not_intact_background_status;callable_below_0.70
Moschus berezovskii	Moschus_berezovskii	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9781126659490491	0.9781126659490491	0.0018301610541727673	39	2	11	176.72423646202643	False	False	False		loss_status_excluded
Moschus chrysogaster	Moschus_chrysogaster	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.5536419088625762	0.5536419088625762	0.4399709829524846	10	0	6	83.85433763349637	False	False	False		not_intact_background_status;callable_below_0.70
Moschus moschiferus	Moschus_moschiferus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9809831359885182	0.9809831359885182	0.0029154518950437317	39	2	8	134.06915907990137	False	False	False		not_intact_background_status
Muntiacus crinifrons	Muntiacus_crinifrons	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9712952996053104	0.9712952996053104	0.0018328445747800588	37	1	7	176.11120151478323	False	False	False		loss_status_excluded
Muntiacus feae	Muntiacus_feae	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9698600645855759	0.9698600645855759	0.0025678650036683784	39	2	6	169.9603278085209	False	False	False		loss_status_excluded
Muntiacus gongshanensis	Muntiacus_gongshanensis	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9705776820954432	0.9705776820954432	0.002565982404692082	37	1	8	173.0321083854974	False	False	False		loss_status_excluded
Muntiacus muntjak	Muntiacus_muntjak	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9666307857911733	0.9666307857911733	0.002571638501102131	24	1	9	135.63736219410632	False	False	False		not_intact_background_status
Muntiacus reevesi	Muntiacus_reevesi	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9705776820954432	0.9705776820954432	0.002559414990859232	33	2	11	176.03217405963574	False	False	False		loss_status_excluded
Muntiacus vaginalis	Muntiacus_vaginalis	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9669895945461069	0.9669895945461069	0.0025744759102611253	37	1	9	175.67321469550808	False	False	False		loss_status_excluded
Mus musculus	Mus_musculus	True	EXTERNAL_INTACT	EXTERNAL_REFSEQ_INTACT	0.9989235737351991	0.9989235737351991	0.0	0	0	0	379.8600645855759	True	False	True	strict_species_intact	
Nanger dama	Nanger_dama	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9189092213850018	0.9189092213850018	0.06147091108671789	42	0	13	164.40679722007286	False	False	False		loss_status_excluded
Nanger granti	Nanger_granti	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.8823107283817725	0.8823107283817725	0.09882869692532943	37	2	12	119.34162402961779	False	False	False		not_intact_background_status
Neotragus moschatus	Neotragus_moschatus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.965913168281306	0.965913168281306	0.009177679882525698	45	0	21	132.2784819157741	False	False	False		not_intact_background_status
Neotragus pygmaeus	Neotragus_pygmaeus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9077861499820595	0.9077861499820595	0.07132406730065838	22	1	15	122.73204099186604	False	False	False		not_intact_background_status
