orthogroup	Ceratotherium simum	Diceros bicornis	Equus asinus	Equus quagga	Equus caballus	Canis lupus	Bos taurus
LOC101403329_	LOC101403329_	MIS12_	MIS12_	MIS12_	MIS12_	MIS12_	MIS12_
LOC101391332_	LOC101391332_	NLRP1_	NLRP1_	NLRP1_	NLRP1_	NLRP1_	NLRP1_
LOC101404112_	LOC101404112_	WSCD1_	WSCD1_	WSCD1_	WSCD1_	WSCD1_	WSCD1_
LOC101404569_	LOC101404569_	AIPL1_	AIPL1_	AIPL1_	AIPL1_	AIPL1_	AIPL1_
LOC101405519_	LOC101405519_	PIMREG_	PIMREG_	PIMREG_	PIMREG_	PIMREG_	PIMREG_
LOC101405777_	LOC101405777_	PITPNM3_	PITPNM3_	PITPNM3_	PITPNM3_	PITPNM3_	PITPNM3_
LOC101406047_	LOC101406047_	KIAA0753_	KIAA0753_	KIAA0753_	KIAA0753_	KIAA0753_	KIAA0753_
LOC101406314_	LOC101406314_	TXNDC17_	TXNDC17_	TXNDC17_	TXNDC17_	TXNDC17_	TXNDC17_
LOC101406559_	LOC101406559_	MED31_	MED31_	MED31_	MED31_	MED31_	MED31_
LOC101406809_	LOC101406809_	SLC13A5_	SLC13A5_	SLC13A5_	SLC13A5_	SLC13A5_	SLC13A5_
LOC101407424_	LOC101407424_	FBXO39_	FBXO39_	FBXO39_	FBXO39_	FBXO39_	FBXO39_
LOC101407702_	LOC101407702_	TEKT1_	TEKT1_	TEKT1_	TEKT1_	TEKT1_	TEKT1_
LOC101407965_	LOC101407965_	SMTNL2_	SMTNL2_	SMTNL2_	SMTNL2_	SMTNL2_	SMTNL2_
LOC101408565_	LOC101408565_	GGT6_	GGT6_	GGT6_	GGT6_	GGT6_	GGT6_
LOC101408827_	LOC101408827_	MYBBP1A_	MYBBP1A_	MYBBP1A_	MYBBP1A_	MYBBP1A_	MYBBP1A_
LOC101409077_	LOC101409077_	SPNS3_	SPNS3_	SPNS3_	SPNS3_	SPNS3_	SPNS2_
LOC101387225_	LOC101387225_	UBE2G1_	UBE2G1_	UBE2G1_	UBE2G1_	UBE2G1_	UBE2G1_
LOC101387472_	LOC101387472_	ANKFY1_	ANKFY1_	ANKFY1_	ANKFY1_	ANKFY1_	ANKFY1_
LOC101387736_	LOC101387736_	LOC131417071_	CYB5D2_	LOC124246286_	CYB5D2_	LOC112669110_	CYB5D2_
LOC101387995_	LOC101387995_	ZZEF1_	ZZEF1_	ZZEF1_	ZZEF1_	ZZEF1_	ZZEF1_
LOC101388255_	LOC101388255_	ATP2A3_	ATP2A3_	ATP2A3_	ATP2A3_	ATP2A3_	ATP2A3_
LOC101389622_	LOC101389622_	P2RX1_	P2RX1_	P2RX1_	P2RX1_	P2RX1_	P2RX1_
LOC101388684_	LOC101388684_	CAMKK1_	CAMKK1_	CAMKK1_	CAMKK1_	CAMKK1_	CAMKK1_
LOC101389128_	LOC101389128_	NCBP3_	NCBP3_	NCBP3_	NCBP3_	NCBP3_	NCBP3_
LOC101392371_	LOC101392371_	ITGAE_	ITGAE_	ITGAE_	ITGAE_	ITGAE_	ITGAE_
LOC101389381_	LOC101389381_	HASPIN_	HASPIN_	HASPIN_	HASPIN_	HASPIN_	HASPIN_
LOC101392630_	LOC101392630_	P2RX5_	P2RX5_	P2RX5_	P2RX5_	P2RX5_	P2RX5_
LOC101389898_	LOC101389898_	EMC6_	EMC6_	EMC6_	EMC6_	EMC6_	EMC6_
LOC101390334_	LOC101390334_	TAX1BP3_	TAX1BP3_	TAX1BP3_	TAX1BP3_	TAX1BP3_	TAX1BP3_
LOC101390759_	LOC101390759_	CTNS_	CTNS_	CTNS_	CTNS_	CTNS_	CTNS_
LOC101391001_	LOC101391001_	SHPK_	SHPK_	SHPK_	SHPK_	SHPK_	SHPK_
LOC101391252_	LOC101391252_	TRPV1_	TRPV1_	TRPV1_	TRPV1_	TRPV1_	TRPV1_
LOC101391669_	LOC101391669_	TRPV3_	TRPV3_	TRPV3_	TRPV3_	TRPV3_	TRPV3_
LOC101391934_	LOC101391934_	ASPA_	ASPA_	ASPA_	ASPA_	ASPA_	ASPA_
LOC101392185_	LOC101392185_	SPATA22_	SPATA22_	SPATA22_	SPATA22_	SPATA22_	SPATA22_
LOC101393817_	LOC101393817_	LOC131417091_	LOC106821936_	LOC124247385_	OR1E1K_	LOC112677534_	OR1E1G_
LOC101394314_	LOC101394314_	LOC131417097_	LOC106821939_	LOC124247204_	OR1R2_	LOC112677138_	OR1R1_
LOC101393387_	LOC101393387_	LOC131417089_	LOC106821941_	LOC124247682_	OR3A16_	LOC112677139_	OR3A10_
LOC101394835_	LOC101394835_	LOC131416636_	LOC123276347_	LOC124247734_	OR3A1I_	LOC112677099_	OR3A1D_
LOC101394922_	LOC101394922_	LOC131416795_	LOC106821976_	LOC124247621_	OR1P1_	LOC112677103_	OR1P1_
LOC101396380_	LOC101396380_	LOC131416644_	LOC106821977_	LOC124247858_	OR1A1_	LOC112677104_	OR1A1C_
LOC101395691_	LOC101395691_	LOC131416650_	LOC106821986_	LOC124247745_	OR1D3_	LOC112677107_	OR1D3_
LOC101397180_	LOC101397180_	RAP1GAP2_	RAP1GAP2_	RAP1GAP2_	RAP1GAP2_	RAP1GAP2_	RAP1GAP2_
LOC101395949_	LOC101395949_	CCDC92B_	CCDC92B_	CCDC92B_	CCDC92B_	CCDC92B_	CCDC92B_
LOC101397428_	LOC101397428_	CLUH_	CLUH_	CLUH_	CLUH_	CLUH_	CLUH_
LOC101397684_	LOC101397684_	PAFAH1B1_	PAFAH1B1_	PAFAH1B1_	PAFAH1B1_	PAFAH1B1_	PAFAH1B1_
LOC101398120_	LOC101398120_	METTL16_	METTL16_	METTL16_	METTL16_	METTL16_	METTL16_
LOC101398366_	LOC101398366_	MNT_	MNT_	MNT_	MNT_	MNT_	MNT_
LOC101398610_	LOC101398610_	SGSM2_	SGSM2_	SGSM2_	SGSM2_	SGSM2_	SGSM2_
LOC101399313_	LOC101399313_	TSR1_	TSR1_	TSR1_	TSR1_	TSR1_	TSR1_
LOC101399577_	LOC101399577_	SRR_	SRR_	SRR_	SRR_	SRR_	SRR_
LOC101399051_	LOC101399051_	SMG6_	SMG6_	SMG6_	SMG6_	SMG6_	SMG6_
LOC101400004_	LOC101400004_	HIC1_	HIC1_	HIC1_	HIC1_	HIC1_	HIC1_
LOC101396470_	LOC101396470_	OVCA2_	OVCA2_	OVCA2_	OVCA2_	OVCA2_	OVCA2_
LOC101400453_	LOC101400453_	DPH1_	DPH1_	DPH1_	DPH1_	DPH1_	DPH1_
LOC101400714_	LOC101400714_	RTN4RL1_	RTN4RL1_	RTN4RL1_	RTN4RL1_	RTN4RL1_	RTN4RL1_
LOC101400974_	LOC101400974_	RPA1_	RPA1_	RPA1_	RPA1_	RPA1_	RPA1_
LOC101401238_	LOC101401238_	SMYD4_	SMYD4_	SMYD4_	SMYD4_	SMYD4_	SMYD4_
LOC101401944_	LOC101401944_	SERPINF1_	SERPINF1_	SERPINF1_	SERPINF1_	SERPINF1_	SERPINF1_
LOC101401499_	LOC101401499_	SERPINF2_	SERPINF2_	SERPINF2_	SERPINF2_	SERPINF2_	SERPINF2_
LOC101402197_	LOC101402197_	WDR81_	WDR81_	WDR81_	WDR81_	WDR81_	WDR81_
LOC101402618_	LOC101402618_	PRPF8_	PRPF8_	PRPF8_	PRPF8_	PRPF8_	PRPF8_
LOC101396994_	LOC101396994_	RILP_	RILP_	RILP_	RILP_	LOC112677578_	RILP_
LOC101402888_	LOC101402888_	SCARF1_	SCARF1_	SCARF1_	SCARF1_	SCARF1_	SCARF1_
LOC101403507_	LOC101403507_	SLC43A2_	SLC43A2_	SLC43A2_	SLC43A2_	SLC43A2_	SLC43A2_
LOC101403771_	LOC101403771_	PITPNA_	PITPNA_	PITPNA_	PITPNA_	PITPNA_	PITPNA_
LOC101404034_	LOC101404034_	INPP5K_	INPP5K_	INPP5K_	INPP5K_	INPP5K_	INPP5K_
LOC101404469_	LOC101404469_	MYO1C_	MYO1C_	MYO1C_	MYO1C_	MYO1C_	MYO1C_
LOC101404903_	LOC101404903_	CRK_	CRK_	CRK_	CRK_	CRK_	CRK_
LOC101405345_	LOC101405345_	YWHAE_	YWHAE_	YWHAE_	YWHAE_	YWHAE_	YWHAE_
LOC101405615_	LOC101405615_	DOC2B_	DOC2B_	DOC2B_	DOC2B_	DOC2B_	DOC2B_
LOC106802278_	LOC106802278_	RPH3AL_	RPH3AL_	RPH3AL_	RPH3AL_	RPH3AL_	RPH3AL_
LOC101397264_	LOC101397264_	LIAT1_	LIAT1_	LIAT1_	LIAT1_	C9H17orf97_	C19H17orf97_
LOC101405878_	LOC101405878_	VPS53_	VPS53_	VPS53_	VPS53_	VPS53_	VPS53_
LOC101406908_	LOC101406908_	TLCD3A_	TLCD3A_	TLCD3A_	TLCD3A_	TLCD3A_	TLCD3A_
LOC101406653_	LOC101406653_	GEMIN4_	GEMIN4_	GEMIN4_	GEMIN4_	GEMIN4_	GEMIN4_
LOC101407425_	LOC101407425_	GLOD4_	GLOD4_	GLOD4_	GLOD4_	GLOD4_	GLOD4_
LOC101407703_	LOC101407703_	MRM3_	MRM3_	MRM3_	MRM3_	MRM3_	MRM3_
LOC101397774_	LOC101397774_	NXN_	NXN_	NXN_	NXN_	NXN_	NXN_
LOC101407966_	LOC101407966_	TIMM22_	TIMM22_	TIMM22_	TIMM22_	TIMM22_	TIMM22_
LOC101408223_	LOC101408223_	ABR_	ABR_	ABR_	ABR_	ABR_	ABR_
LOC101398032_	LOC101398032_	BHLHA9_	BHLHA9_	BHLHA9_	BHLHA9_	BHLHA9_	BHLHA9_
LOC101398288_	LOC101398288_	TRARG1_	TRARG1_	TRARG1_	TRARG1_	TRARG1_	TRARG1_
LOC101408997_	LOC101408997_	GOSR1_	GOSR1_	GOSR1_	GOSR1_	GOSR1_	GOSR1_
LOC101398534_	LOC101398534_	CPD_	CPD_	CPD_	CPD_	CPD_	CPD_
LOC106802298_	LOC106802298_	TMIGD1_	TMIGD1_	TMIGD1_	TMIGD1_	TMIGD1_	TMIGD1_
LOC101398791_	LOC101398791_	BLMH_	BLMH_	BLMH_	BLMH_	BLMH_	BLMH_
LOC101387311_	LOC101387311_	SLC6A4_	SLC6A4_	SLC6A4_	SLC6A4_	SLC6A4_	SLC6A4_
LOC101387563_	LOC101387563_	NSRP1_	NSRP1_	NSRP1_	NSRP1_	NSRP1_	NSRP1_
LOC101399053_	LOC101399053_	EFCAB5_	EFCAB5_	EFCAB5_	EFCAB5_	EFCAB5_	EFCAB5_
LOC101388172_	LOC101388172_	SSH2_	SSH2_	SSH2_	SSH2_	SSH2_	SSH2_
LOC101388588_	LOC101388588_	CORO6_	CORO6_	CORO6_	CORO6_	CORO6_	CORO6_
LOC101388855_	LOC101388855_	ANKRD13B_	ANKRD13B_	ANKRD13B_	ANKRD13B_	ANKRD13B_	ANKRD13B_
LOC101389129_	LOC101389129_	GIT1_	GIT1_	GIT1_	GIT1_	GIT1_	GIT1_
LOC101399315_	LOC101399315_	TP53I13_	TP53I13_	TP53I13_	TP53I13_	TP53I13_	TP53I13_
LOC101389382_	LOC101389382_	ABHD15_	ABHD15_	ABHD15_	ABHD15_	ABHD15_	ABHD15_
LOC101389623_	LOC101389623_	TAOK1_	TAOK1_	TAOK1_	TAOK1_	TAOK1_	TAOK1_
LOC101390335_	LOC101390335_	NUFIP2_	NUFIP2_	NUFIP2_	NUFIP2_	NUFIP2_	NUFIP2_
LOC101390580_	LOC101390580_	CRYBA1_	CRYBA1_	CRYBA1_	CRYBA1_	CRYBA1_	CRYBA1_
LOC101390835_	LOC101390835_	MYO18A_	MYO18A_	MYO18A_	MYO18A_	MYO18A_	MYO18A_
LOC101391423_	LOC101391423_	PIPOX_	PIPOX_	PIPOX_	PIPOX_	PIPOX_	PIPOX_
LOC101391670_	LOC101391670_	SEZ6_	SEZ6_	SEZ6_	SEZ6_	SEZ6_	SEZ6_
LOC101392283_	LOC101392283_	PHF12_	PHF12_	PHF12_	PHF12_	PHF12_	PHF12_
LOC101392549_	LOC101392549_	FLOT2_	FLOT2_	FLOT2_	FLOT2_	FLOT2_	FLOT2_
LOC101392805_	LOC101392805_	ERAL1_	ERAL1_	ERAL1_	ERAL1_	ERAL1_	ERAL1_
LOC101393065_	LOC101393065_	FAM222B_	FAM222B_	FAM222B_	FAM222B_	FAM222B_	FAM222B_
LOC101393648_	LOC101393648_	TRAF4_	TRAF4_	TRAF4_	TRAF4_	TRAF4_	TRAF4_
LOC101393903_	LOC101393903_	NEK8_	NEK8_	NEK8_	NEK8_	NEK8_	NEK8_
LOC101400093_	LOC101400093_	RPL23A_	RPL23A_	RPL23A_	LOC100055584_	RPL23A_	RPL23A_
LOC101394921_	LOC101394921_	PROCA1_	PROCA1_	PROCA1_	PROCA1_	PROCA1_	PROCA1_
LOC101395165_	LOC101395165_	SUPT6H_	SUPT6H_	SUPT6H_	SUPT6H_	SUPT6H_	SUPT6H_
LOC101395427_	LOC101395427_	SDF2_	SDF2_	SDF2_	SDF2_	SDF2_	SDF2_
LOC101395690_	LOC101395690_	BLTP2_	BLTP2_	BLTP2_	KIAA0100_	BLTP2_	KIAA0100_
LOC101395948_	LOC101395948_	RSKR_	RSKR_	RSKR_	RSKR_	RSKR_	RSKR_
LOC101396212_	LOC101396212_	SPAG5_	SPAG5_	SPAG5_	SPAG5_	SPAG5_	SPAG5_
LOC101396469_	LOC101396469_	ALDOC_	ALDOC_	ALDOC_	ALDOC_	ALDOC_	ALDOC_
LOC101396732_	LOC101396732_	PIGS_	PIGS_	PIGS_	PIGS_	PIGS_	PIGS_
LOC101397181_	LOC101397181_	LOC131417187_	RHBDD3_	RHBDD3_	RHBDD3_	RHBDD3_	RHBDD3_
LOC101397429_	LOC101397429_	UNC119_	UNC119_	UNC119_	UNC119_	UNC119_	UNC119_
LOC101397685_	LOC101397685_	FOXN1_	FOXN1_	FOXN1_	FOXN1_	FOXN1_	FOXN1_
LOC101398121_	LOC101398121_	SLC13A2_	SLC13A2_	SLC13A2_	SLC13A2_	SLC13A2_	SLC13A2_
LOC101400365_	LOC101400365_	SARM1_	SARM1_	SARM1_	SARM1_	SARM1_	SARM1_
LOC101398790_	LOC101398790_	VTN_	VTN_	VTN_	VTN_	VTN_	VTN_
LOC101399052_	LOC101399052_	SEBOX_	SEBOX_	SEBOX_	SEBOX_	SEBOX_	SEBOX_
LOC101399314_	LOC101399314_	TMEM199_	TMEM199_	TMEM199_	TMEM199_	TMEM199_	TMEM199_
LOC101399578_	LOC101399578_	POLDIP2_	POLDIP2_	POLDIP2_	POLDIP2_	POLDIP2_	POLDIP2_
LOC101400264_	LOC101400264_	IFT20_	IFT20_	IFT20_	IFT20_	IFT20_	IFT20_
LOC101400530_	LOC101400530_	TMEM97_	TMEM97_	TMEM97_	TMEM97_	TMEM97_	TMEM97_
LOC101400800_	LOC101400800_	NLK_	NLK_	NLK_	NLK_	NLK_	NLK_
LOC101401500_	LOC101401500_	NOS2_	NOS2_	NOS2_	NOS2_	NOS2_	NOS2_
LOC101389810_	LOC101389810_	TMEM192_	TMEM192_	TMEM192_	TMEM192_	TMEM192_	TMEM192_
LOC101404905_	LOC101404905_	KLHL2_	KLHL2_	KLHL2_	KLHL2_	KLHL2_	KLHL2_
LOC101405520_	LOC101405520_	MSMO1_	MSMO1_	MSMO1_	MSMO1_	MSMO1_	MSMO1_
LOC101390076_	LOC101390076_	CPE_	CPE_	CPE_	CPE_	CPE_	CPE_
LOC101405778_	LOC101405778_	TLL1_	TLL1_	TLL1_	TLL1_	TLL1_	TLL1_
LOC101408224_	LOC101408224_	CBR4_	CBR4_	CBR4_	CBR4_	CBR4_	CBR4_
LOC101408486_	LOC101408486_	SH3RF1_	SH3RF1_	SH3RF1_	SH3RF1_	SH3RF1_	SH3RF1_
LOC101408998_	LOC101408998_	NEK1_	NEK1_	NEK1_	NEK1_	NEK1_	NEK1_
LOC101387142_	LOC101387142_	CLCN3_	CLCN3_	CLCN3_	CLCN3_	CLCN3_	CLCN3_
LOC101388085_	LOC101388085_	LOC131411466_	HPF1_	LOC124237457_	HPF1_	LOC112669601_	HPF1_
LOC101388342_	LOC101388342_	MFAP3L_	MFAP3L_	MFAP3L_	MFAP3L_	MFAP3L_	MFAP3L_
LOC101388761_	LOC101388761_	AADAT_	AADAT_	AADAT_	AADAT_	AADAT_	AADAT_
LOC101389536_	LOC101389536_	GALNT7_	GALNT7_	GALNT7_	GALNT7_	GALNT7_	GALNT7_
LOC101389809_	LOC101389809_	HMGB2_	HMGB2_	HMGB2_	HMGB2_	HMGB2_	HMGB2_
LOC101390504_	LOC101390504_	HAND2_	HAND2_	HAND2_	HAND2_	HAND2_	HAND2_
LOC101390760_	LOC101390760_	FBXO8_	FBXO8_	FBXO8_	FBXO8_	FBXO8_	FBXO8_
LOC101391002_	LOC101391002_	CEP44_	CEP44_	CEP44_	CEP44_	CEP44_	CEP44_
LOC101391253_	LOC101391253_	HPGD_	HPGD_	HPGD_	HPGD_	HPGD_	HPGD_
LOC101392186_	LOC101392186_	GLRA3_	GLRA3_	GLRA3_	GLRA3_	GLRA3_	GLRA3_
LOC101392631_	LOC101392631_	ADAM29_	ADAM29_	ADAM29_	ADAM29_	ADAM29_	ADAM29_
LOC101392448_	LOC101392448_	CTSB_	CTSB_	CTSB_	CTSB_	CTSB_	CTSB_
LOC101393228_	LOC101393228_	FDFT1_	FDFT1_	FDFT1_	FDFT1_	FDFT1_	FDFT1_
LOC101393650_	LOC101393650_	NEIL2_	NEIL2_	NEIL2_	NEIL2_	NEIL2_	NEIL2_
LOC101393148_	LOC101393148_	GATA4_	GATA4_	GATA4_	GATA4_	GATA4_	GATA4_
LOC101393905_	LOC101393905_	BLK_	BLK_	BLK_	BLK_	BLK_	BLK_
LOC101394155_	LOC101394155_	FAM167A_	FAM167A_	FAM167A_	FAM167A_	FAM167A_	FAM167A_
LOC101394406_	LOC101394406_	LOC131411494_	LOC106838174_	LOC124236710_	TDH_	LOC112669652_	TDH_
LOC101394659_	LOC101394659_	MTMR9_	MTMR9_	MTMR9_	MTMR9_	MTMR9_	MTMR9_
LOC101394923_	LOC101394923_	XKR6_	XKR6_	XKR6_	XKR6_	XKR6_	XKR6_
LOC101395692_	LOC101395692_	C11H8orf74_	C3H8orf74_	C3H8orf74_	C2H8orf74_	C25H8orf74_	C8H8orf74_
LOC101396214_	LOC101396214_	PRSS55_	PRSS55_	PRSS55_	PRSS55_	LOC112669662_	PRSS55_
LOC101396471_	LOC101396471_	MSRA_	MSRA_	MSRA_	MSRA_	MSRA_	MSRA_
LOC101393906_	LOC101393906_	KIF13B_	KIF13B_	KIF13B_	KIF13B_	KIF13B_	KIF13B_
LOC101397182_	LOC101397182_	HMBOX1_	HMBOX1_	HMBOX1_	HMBOX1_	HMBOX1_	HMBOX1_
LOC101397430_	LOC101397430_	INTS9_	INTS9_	INTS9_	INTS9_	INTS9_	INTS9_
LOC101398033_	LOC101398033_	EXTL3_	EXTL3_	EXTL3_	EXTL3_	EXTL3_	EXTL3_
LOC101398289_	LOC101398289_	FZD3_	FZD3_	FZD3_	FZD3_	FZD3_	FZD3_
LOC101398535_	LOC101398535_	FBXO16_	FBXO16_	FBXO16_	FBXO16_	FBXO16_	FBXO16_
LOC101399138_	LOC101399138_	ZNF395_	ZNF395_	ZNF395_	ZNF395_	ZNF395_	ZNF395_
LOC101399580_	LOC101399580_	PNOC_	PNOC_	PNOC_	PNOC_	PNOC_	PNOC_
LOC101399829_	LOC101399829_	ELP3_	ELP3_	ELP3_	ELP3_	ELP3_	ELP3_
LOC101400454_	LOC101400454_	NUGGC_	NUGGC_	NUGGC_	NUGGC_	NUGGC_	NUGGC_
LOC101400715_	LOC101400715_	SCARA5_	SCARA5_	SCARA5_	SCARA5_	SCARA5_	SCARA5_
LOC101400975_	LOC101400975_	PBK_	PBK_	PBK_	PBK_	PBK_	PBK_
LOC101401240_	LOC101401240_	ESCO2_	ESCO2_	ESCO2_	ESCO2_	ESCO2_	ESCO2_
LOC101401501_	LOC101401501_	CCDC25_	CCDC25_	CCDC25_	CCDC25_	LOC112672430_	CCDC25_
LOC101402027_	LOC101402027_	SCARA3_	SCARA3_	SCARA3_	SCARA3_	SCARA3_	SCARA3_
LOC101402289_	LOC101402289_	CLU_	CLU_	CLU_	CLU_	CLU_	CLU_
LOC106802332_	LOC106802332_	LOC131411521_	LOC106832515_	LOC124236881_	GULO_	LOC112670206_	GULO_
LOC101394156_	LOC101394156_	EPHX2_	EPHX2_	EPHX2_	EPHX2_	EPHX2_	EPHX2_
LOC101402539_	LOC101402539_	CHRNA2_	CHRNA2_	CHRNA2_	CHRNA2_	CHRNA2_	CHRNA2_
LOC101402977_	LOC101402977_	PTK2B_	PTK2B_	PTK2B_	PTK2B_	PTK2B_	PTK2B_
LOC101403417_	LOC101403417_	TRIM35_	TRIM35_	TRIM35_	TRIM35_	TRIM35_	TRIM35_
LOC101403681_	LOC101403681_	STMN4_	STMN4_	STMN4_	STMN4_	STMN4_	STMN4_
LOC101404470_	LOC101404470_	ADRA1A_	ADRA1A_	ADRA1A_	ADRA1A_	ADRA1A_	ADRA1A_
LOC101404729_	LOC101404729_	DPYSL2_	DPYSL2_	DPYSL2_	DPYSL2_	DPYSL2_	DPYSL2_
LOC101405521_	LOC101405521_	PNMA2_	PNMA2_	PNMA2_	PNMA2_	PNMA2_	PNMA2_
LOC101405779_	LOC101405779_	BNIP3L_	BNIP3L_	BNIP3L_	BNIP3L_	BNIP3L_	BNIP3L_
LOC101406217_	LOC101406217_	PPP2R2A_	PPP2R2A_	PPP2R2A_	PPP2R2A_	PPP2R2A_	PPP2R2A_
LOC101407079_	LOC101407079_	EBF2_	EBF2_	EBF2_	EBF2_	EBF2_	EBF2_
LOC101394407_	LOC101394407_	CDCA2_	CDCA2_	CDCA2_	CDCA2_	CDCA2_	CDCA2_
LOC101407527_	LOC101407527_	KCTD9_	KCTD9_	KCTD9_	KCTD9_	KCTD9_	KCTD9_
LOC101407792_	LOC101407792_	GNRH1_	GNRH1_	GNRH1_	GNRH1_	GNRH1_	GNRH1_
LOC101408050_	LOC101408050_	DOCK5_	DOCK5_	DOCK5_	DOCK5_	DOCK5_	DOCK5_
LOC101408313_	LOC101408313_	NEFL_	NEFL_	NEFL_	NEFL_	NEFL_	NEFL_
LOC101408567_	LOC101408567_	NEFM_	NEFM_	NEFM_	NEFM_	NEFM_	NEFM_
LOC101394660_	LOC101394660_	ADAM7_	ADAM7_	ADAM7_	ADAM7_	ADAM7_	ADAM7_
LOC101395168_	LOC101395168_	ADAM28_	ADAM28_	ADAM28_	ADAM28_	ADAM28_	ADAMDEC1_
LOC101396215_	LOC101396215_	STC1_	STC1_	STC1_	STC1_	STC1_	STC1_
LOC106802317_	LOC106802317_	NKX2-6_	NKX2-6_	NKX2-6_	NKX2-6_	NKX2-6_	NKX2-6_
LOC106802318_	LOC106802318_	NKX3-1_	NKX3-1_	NKX3-1_	NKX3-1_	NKX3-1_	NKX3-1_
LOC101409079_	LOC101409079_	ENTPD4_	ENTPD4_	ENTPD4_	ENTPD4_	ENTPD4_	ENTPD4_
LOC101387227_	LOC101387227_	LOXL2_	LOXL2_	LOXL2_	LOXL2_	LOXL2_	LOXL2_
LOC101387474_	LOC101387474_	R3HCC1_	R3HCC1_	R3HCC1_	R3HCC1_	R3HCC1_	R3HCC1_
LOC101387738_	LOC101387738_	CHMP7_	CHMP7_	CHMP7_	CHMP7_	CHMP7_	CHMP7_
LOC101397265_	LOC101397265_	PCDH20_	PCDH20_	PCDH20_	PCDH20_	PCDH20_	PCDH20_
LOC101397514_	LOC101397514_	TDRD3_	TDRD3_	TDRD3_	TDRD3_	TDRD3_	TDRD3_
LOC101397938_	LOC101397938_	DIAPH3_	DIAPH3_	DIAPH3_	DIAPH3_	DIAPH3_	DIAPH3_
LOC101399139_	LOC101399139_	PCDH17_	PCDH17_	PCDH17_	PCDH17_	PCDH17_	PCDH17_
LOC101399664_	LOC101399664_	PCDH8_	LOC106839863_	PCDH8_	PCDH8_	LOC112678812_	PCDH8_
LOC101400094_	LOC101400094_	CNMD_	CNMD_	CNMD_	CNMD_	CNMD_	CNMD_
LOC101400531_	LOC101400531_	SUGT1_	SUGT1_	SUGT1_	SUGT1_	SUGT1_	SUGT1_
LOC101400801_	LOC101400801_	ELF1_	ELF1_	ELF1_	ELF1_	ELF1_	ELF1_
LOC101401241_	LOC101401241_	WBP4_	WBP4_	WBP4_	WBP4_	WBP4_	WBP4_
LOC101401502_	LOC101401502_	LOC131410239_	LOC106839857_	LOC124240572_	KBTBD6_	LOC112678820_	KBTBD6_
LOC101401759_	LOC101401759_	KBTBD7_	KBTBD7_	KBTBD7_	KBTBD7_	KBTBD7_	KBTBD7_
LOC101402028_	LOC101402028_	MTRF1_	MTRF1_	MTRF1_	MTRF1_	MTRF1_	MTRF1_
LOC101402290_	LOC101402290_	NAA16_	NAA16_	NAA16_	NAA16_	NAA16_	NAA16_
LOC101402889_	LOC101402889_	RGCC_	RGCC_	RGCC_	RGCC_	RGCC_	RGCC_
LOC101403155_	LOC101403155_	VWA8_	VWA8_	VWA8_	VWA8_	VWA8_	VWA8_
LOC101403071_	LOC101403071_	DGKH_	DGKH_	DGKH_	DGKH_	DGKH_	DGKH_
LOC101403851_	LOC101403851_	AKAP11_	AKAP11_	AKAP11_	AKAP11_	AKAP11_	AKAP11_
LOC101404114_	LOC101404114_	TNFSF11_	TNFSF11_	TNFSF11_	TNFSF11_	TNFSF11_	TNFSF11_
LOC101403418_	LOC101403418_	FAM216B_	FAM216B_	FAM216B_	FAM216B_	FAM216B_	FAM216B_
LOC101404381_	LOC101404381_	EPSTI1_	EPSTI1_	EPSTI1_	EPSTI1_	LOC112653450_	EPSTI1_
LOC101404650_	LOC101404650_	DNAJC15_	DNAJC15_	DNAJC15_	DNAJC15_	DNAJC15_	DNAJC15_
LOC101404212_	LOC101404212_	ENOX1_	ENOX1_	ENOX1_	ENOX1_	ENOX1_	ENOX1_
LOC101404906_	LOC101404906_	CCDC122_	CCDC122_	CCDC122_	CCDC122_	CCDC122_	CCDC122_
LOC101405175_	LOC101405175_	LACC1_	LACC1_	LACC1_	LACC1_	LACC1_	LACC1_
LOC101405690_	LOC101405690_	TSC22D1_	TSC22D1_	TSC22D1_	TSC22D1_	TSC22D1_	TSC22D1_
LOC101406560_	LOC101406560_	NUFIP1_	NUFIP1_	NUFIP1_	NUFIP1_	NUFIP1_	NUFIP1_
LOC101406811_	LOC101406811_	GPALPP1_	GPALPP1_	GPALPP1_	GPALPP1_	GPALPP1_	GPALPP1_
LOC101407080_	LOC101407080_	GTF2F2_	GTF2F2_	GTF2F2_	GTF2F2_	GTF2F2_	LOC112449302_
LOC101407351_	LOC101407351_	KCTD4_	KCTD4_	KCTD4_	KCTD4_	KCTD4_	KCTD4_
LOC101407623_	LOC101407623_	TPT1_	TPT1_	TPT1_	TPT1_	TPT1_	TPT1_
LOC101408051_	LOC101408051_	SLC25A30_	SLC25A30_	SLC25A30_	SLC25A30_	SLC25A30_	SLC25A30_
LOC101408314_	LOC101408314_	COG3_	COG3_	COG3_	COG3_	COG3_	COG3_
LOC101404471_	LOC101404471_	ERICH6B_	ERICH6B_	ERICH6B_	ERICH6B_	ERICH6B_	ERICH6B_
LOC101408568_	LOC101408568_	CBY2_	CBY2_	CBY2_	CBY2_	CBY2_	CBY2_
LOC101408830_	LOC101408830_	SIAH3_	SIAH3_	SIAH3_	SIAH3_	SIAH3_	SIAH3_
LOC101409080_	LOC101409080_	ZC3H13_	ZC3H13_	ZC3H13_	ZC3H13_	ZC3H13_	ZC3H13_
