orthogroup	Ceratotherium simum	Diceros bicornis	Equus asinus	Equus quagga	Equus caballus	Canis lupus	Bos taurus
LOC101403088_	LOC101403088_	POC1B_	POC1B_	POC1B_	POC1B_	POC1B_	POC1B_
LOC101403866_	LOC101403866_	ATP2B1_	ATP2B1_	ATP2B1_	ATP2B1_	ATP2B1_	ATP2B1_
LOC101404128_	LOC101404128_	CCER1_	CCER1_	CCER1_	CCER1_	CCER1_	CCER1_
LOC101404394_	LOC101404394_	EPYC_	EPYC_	EPYC_	EPYC_	EPYC_	EPYC_
LOC101404664_	LOC101404664_	KERA_	KERA_	KERA_	KERA_	KERA_	KERA_
LOC101404920_	LOC101404920_	LUM_	LUM_	LUM_	LUM_	LUM_	LUM_
LOC101405189_	LOC101405189_	DCN_	DCN_	DCN_	DCN_	DCN_	DCN_
LOC101406839_	LOC101406839_	EEA1_	EEA1_	EEA1_	EEA1_	EEA1_	EEA1_
LOC101407105_	LOC101407105_	NUDT4_	NUDT4_	NUDT4_	NUDT4_	NUDT4_	NUDT4_
LOC101407371_	LOC101407371_	UBE2N_	UBE2N_	UBE2N_	UBE2N_	UBE2N_	UBE2N_
LOC101407645_	LOC101407645_	MRPL42_	MRPL42_	MRPL42_	MRPL42_	MRPL42_	MRPL42_
LOC101408761_	LOC101408761_	PLXNC1_	PLXNC1_	PLXNC1_	PLXNC1_	PLXNC1_	PLXNC1_
LOC101409016_	LOC101409016_	CEP83_	CEP83_	CEP83_	CEP83_	CEP83_	CEP83_
LOC101387411_	LOC101387411_	NDUFA12_	NDUFA12_	NDUFA12_	NDUFA12_	NDUFA12_	NDUFA12_
LOC101387836_	LOC101387836_	NR2C1_	NR2C1_	NR2C1_	NR2C1_	NR2C1_	NR2C1_
LOC101388275_	LOC101388275_	FGD6_	FGD6_	FGD6_	FGD6_	FGD6_	FGD6_
LOC101408506_	LOC101408506_	VEZT_	VEZT_	VEZT_	VEZT_	VEZT_	VEZT_
LOC101388521_	LOC101388521_	METAP2_	METAP2_	METAP2_	METAP2_	METAP2_	METAP2_
LOC101388966_	LOC101388966_	USP44_	USP44_	USP44_	USP44_	USP44_	USP44_
LOC101389234_	LOC101389234_	NTN4_	NTN4_	NTN4_	NTN4_	NTN4_	NTN4_
LOC101408767_	LOC101408767_	CCDC38_	CCDC38_	CCDC38_	CCDC38_	CCDC38_	CCDC38_
LOC101389920_	LOC101389920_	AMDHD1_	AMDHD1_	AMDHD1_	AMDHD1_	AMDHD1_	AMDHD1_
LOC101390353_	LOC101390353_	HAL_	HAL_	HAL_	HAL_	HAL_	HAL_
LOC101390940_	LOC101390940_	LTA4H_	LTA4H_	LTA4H_	LTA4H_	LTA4H_	LTA4H_
LOC101391438_	LOC101391438_	ELK3_	ELK3_	ELK3_	ELK3_	ELK3_	ELK3_
LOC101391683_	LOC101391683_	CDK17_	CDK17_	CDK17_	CDK17_	CDK17_	CDK17_
LOC106800353_	LOC106800353_	CFAP54_	CFAP54_	CFAP54_	CFAP54_	CFAP54_	CFAP54_
LOC101391947_	LOC101391947_	NEDD1_	NEDD1_	NEDD1_	NEDD1_	NEDD1_	NEDD1_
LOC101392572_	LOC101392572_	TMPO_	TMPO_	TMPO_	TMPO_	TMPO_	TMPO_
LOC101393165_	LOC101393165_	SLC25A3_	SLC25A3_	SLC25A3_	SLC25A3_	SLC25A3_	SLC25A3_
LOC101393583_	LOC101393583_	IKBIP_	IKBIP_	IKBIP_	IKBIP_	LOC112654407_	IKBIP_
LOC101394006_	LOC101394006_	APAF1_	APAF1_	APAF1_	APAF1_	APAF1_	APAF1_
LOC101397201_	LOC101397201_	BLTP3B_	BLTP3B_	BLTP3B_	BLTP3B_	BLTP3B_	BLTP3B_
LOC101397448_	LOC101397448_	ACTR6_	ACTR6_	ACTR6_	ACTR6_	ACTR6_	ACTR6_
LOC101397872_	LOC101397872_	SCYL2_	SCYL2_	SCYL2_	SCYL2_	SCYL2_	SCYL2_
LOC101398309_	LOC101398309_	SLC17A8_	SLC17A8_	SLC17A8_	SLC17A8_	SLC17A8_	SLC17A8_
LOC101398710_	LOC101398710_	NR1H4_	NR1H4_	NR1H4_	NR1H4_	NR1H4_	NR1H4_
LOC101387417_	LOC101387417_	GAS2L3_	GAS2L3_	GAS2L3_	GAS2L3_	GAS2L3_	GAS2L3_
LOC101399159_	LOC101399159_	ANO4_	ANO4_	ANO4_	ANO4_	ANO4_	ANO4_
LOC101399595_	LOC101399595_	SLC5A8_	SLC5A8_	SLC5A8_	SLC5A8_	SLC5A8_	SLC5A8_
LOC101399850_	LOC101399850_	UTP20_	UTP20_	UTP20_	UTP20_	UTP20_	UTP20_
LOC101400114_	LOC101400114_	ARL1_	ARL1_	ARL1_	ARL1_	ARL1_	ARL1_
LOC101400551_	LOC101400551_	SPIC_	SPIC_	SPIC_	SPIC_	SPIC_	SPIC_
