model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,test,Negative selection,0.0,61.66,SRV+Double,2
alternative,test,Negative selection,0.051,23.312,SRV+Double,2
alternative,test,Negative selection,0.0,61.66,SRV+Double,2
alternative,test,Negative selection,0.549,23.312,SRV+Double,2
alternative,test,Neutral evolution,1.0,15.028,SRV+Double,2
alternative,test,Neutral evolution,1.0,15.028,SRV+Double,2
null,reference,Negative selection,0.0,61.579,SRV+Double,2
null,reference,Negative selection,0.552,24.223,SRV+Double,2
null,reference,Neutral evolution,1.0,14.198,SRV+Double,2
null,test,Negative selection,0.0,61.579,SRV+Double,2
null,test,Negative selection,0.552,24.223,SRV+Double,2
null,test,Neutral evolution,1.0,14.198,SRV+Double,2
alternative,reference,Negative selection,0.0,60.648,SRV+Double,3
alternative,reference,Negative selection,0.493,22.814,SRV+Double,3
alternative,reference,Neutral evolution,1.0,16.537,SRV+Double,3
alternative,test,Negative selection,0.0,60.648,SRV+Double,3
alternative,test,Negative selection,0.0,22.814,SRV+Double,3
alternative,test,Negative selection,0.0,60.648,SRV+Double,3
alternative,test,Negative selection,0.493,22.814,SRV+Double,3
alternative,test,Neutral evolution,1.0,16.537,SRV+Double,3
alternative,test,Neutral evolution,1.0,16.537,SRV+Double,3
null,reference,Negative selection,0.0,60.705,SRV+Double,3
null,reference,Negative selection,0.498,23.382,SRV+Double,3
null,reference,Neutral evolution,1.0,15.912,SRV+Double,3
null,test,Negative selection,0.0,60.705,SRV+Double,3
null,test,Negative selection,0.498,23.382,SRV+Double,3
null,test,Neutral evolution,1.0,15.912,SRV+Double,3
alternative,reference,Diversifying selection,1.034,0.0,SRV+Double,4
alternative,reference,Negative selection,0.063,76.796,SRV+Double,4
alternative,reference,Negative selection,0.992,23.204,SRV+Double,4
alternative,test,Diversifying selection,5.295,0.0,SRV+Double,4
alternative,test,Diversifying selection,1.034,0.0,SRV+Double,4
alternative,test,Negative selection,0.0,76.796,SRV+Double,4
alternative,test,Negative selection,0.687,23.204,SRV+Double,4
alternative,test,Negative selection,0.063,76.796,SRV+Double,4
alternative,test,Negative selection,0.992,23.204,SRV+Double,4
null,reference,Diversifying selection,1.01,0.0,SRV+Double,4
null,reference,Negative selection,0.0,63.43,SRV+Double,4
null,reference,Negative selection,0.749,36.57,SRV+Double,4
null,test,Diversifying selection,1.01,0.0,SRV+Double,4
null,test,Negative selection,0.0,63.43,SRV+Double,4
null,test,Negative selection,0.749,36.57,SRV+Double,4
alternative,reference,Negative selection,0.0,0.155,SRV+Double,5
alternative,reference,Negative selection,0.074,78.064,SRV+Double,5
alternative,reference,Neutral evolution,1.0,21.782,SRV+Double,5
alternative,test,Negative selection,0.0,0.155,SRV+Double,5
alternative,test,Negative selection,0.0,78.064,SRV+Double,5
alternative,test,Negative selection,0.0,0.155,SRV+Double,5
alternative,test,Negative selection,0.074,78.064,SRV+Double,5
alternative,test,Neutral evolution,1.0,21.782,SRV+Double,5
alternative,test,Neutral evolution,1.0,21.782,SRV+Double,5
null,reference,Negative selection,0.0,0.0,SRV+Double,5
null,reference,Negative selection,0.068,77.679,SRV+Double,5
null,reference,Neutral evolution,1.0,22.321,SRV+Double,5
null,test,Negative selection,0.0,0.0,SRV+Double,5
null,test,Negative selection,0.068,77.679,SRV+Double,5
null,test,Neutral evolution,1.0,22.321,SRV+Double,5
alternative,reference,Negative selection,0.0,12.159,SRV+Double,6
alternative,reference,Negative selection,0.095,66.644,SRV+Double,6
alternative,reference,Neutral evolution,1.0,21.196,SRV+Double,6
alternative,test,Negative selection,0.0,12.159,SRV+Double,6
alternative,test,Negative selection,0.0,66.644,SRV+Double,6
alternative,test,Negative selection,0.0,12.159,SRV+Double,6
alternative,test,Negative selection,0.095,66.644,SRV+Double,6
alternative,test,Neutral evolution,1.0,21.196,SRV+Double,6
