model,branch_set,mode,omega,proportion_percent,run_type,replicate
null,test,Diversifying selection,2.18,0.0,SRV+Double,4
null,test,Negative selection,0.009,0.0,SRV+Double,4
null,test,Negative selection,0.398,100.0,SRV+Double,4
alternative,reference,Diversifying selection,1.543,0.0,SRV+Double,5
alternative,reference,Negative selection,0.008,0.0,SRV+Double,5
alternative,reference,Negative selection,0.41,100.0,SRV+Double,5
alternative,test,Diversifying selection,1.907,0.0,SRV+Double,5
alternative,test,Diversifying selection,1.543,0.0,SRV+Double,5
alternative,test,Negative selection,0.001,0.0,SRV+Double,5
alternative,test,Negative selection,0.265,100.0,SRV+Double,5
alternative,test,Negative selection,0.008,0.0,SRV+Double,5
alternative,test,Negative selection,0.41,100.0,SRV+Double,5
null,reference,Diversifying selection,3.583,0.0,SRV+Double,5
null,reference,Negative selection,0.006,0.0,SRV+Double,5
null,reference,Negative selection,0.398,100.0,SRV+Double,5
null,test,Diversifying selection,3.583,0.0,SRV+Double,5
null,test,Negative selection,0.006,0.0,SRV+Double,5
null,test,Negative selection,0.398,100.0,SRV+Double,5
alternative,reference,Diversifying selection,1.223,0.0,SRV+Double,6
alternative,reference,Negative selection,0.41,93.836,SRV+Double,6
alternative,reference,Negative selection,0.42,6.164,SRV+Double,6
alternative,test,Diversifying selection,1.349,0.0,SRV+Double,6
alternative,test,Diversifying selection,1.223,0.0,SRV+Double,6
alternative,test,Negative selection,0.264,93.836,SRV+Double,6
alternative,test,Negative selection,0.274,6.164,SRV+Double,6
alternative,test,Negative selection,0.41,93.836,SRV+Double,6
alternative,test,Negative selection,0.42,6.164,SRV+Double,6
null,reference,Diversifying selection,2.219,0.0,SRV+Double,6
null,reference,Negative selection,0.317,0.0,SRV+Double,6
null,reference,Negative selection,0.398,100.0,SRV+Double,6
null,test,Diversifying selection,2.219,0.0,SRV+Double,6
null,test,Negative selection,0.317,0.0,SRV+Double,6
null,test,Negative selection,0.398,100.0,SRV+Double,6
alternative,reference,Diversifying selection,1.126,0.0,SRV+Double,7
alternative,reference,Negative selection,0.12,0.0,SRV+Double,7
alternative,reference,Negative selection,0.411,100.0,SRV+Double,7
alternative,test,Diversifying selection,1.193,0.0,SRV+Double,7
alternative,test,Diversifying selection,1.126,0.0,SRV+Double,7
alternative,test,Negative selection,0.042,0.0,SRV+Double,7
alternative,test,Negative selection,0.265,100.0,SRV+Double,7
