model,branch_set,mode,omega,proportion_percent,run_type,replicate
null,reference,Negative selection,0.207,11.876,SRV+Double,7
null,reference,Negative selection,0.211,88.058,SRV+Double,7
null,test,Diversifying selection,100.586,0.067,SRV+Double,7
null,test,Negative selection,0.207,11.876,SRV+Double,7
null,test,Negative selection,0.211,88.058,SRV+Double,7
alternative,reference,Diversifying selection,104.358,0.063,SRV+Double,8
alternative,reference,Negative selection,0.217,97.592,SRV+Double,8
alternative,reference,Negative selection,0.224,2.345,SRV+Double,8
alternative,test,Diversifying selection,177.172,0.063,SRV+Double,8
alternative,test,Diversifying selection,104.358,0.063,SRV+Double,8
alternative,test,Negative selection,0.182,97.592,SRV+Double,8
alternative,test,Negative selection,0.189,2.345,SRV+Double,8
alternative,test,Negative selection,0.217,97.592,SRV+Double,8
alternative,test,Negative selection,0.224,2.345,SRV+Double,8
null,reference,Diversifying selection,100.487,0.066,SRV+Double,8
null,reference,Negative selection,0.211,97.58,SRV+Double,8
null,reference,Negative selection,0.216,2.354,SRV+Double,8
null,test,Diversifying selection,100.487,0.066,SRV+Double,8
null,test,Negative selection,0.211,97.58,SRV+Double,8
null,test,Negative selection,0.216,2.354,SRV+Double,8
alternative,reference,Diversifying selection,2.591,0.0,SRV+Double,9
alternative,reference,Negative selection,0.207,45.131,SRV+Double,9
alternative,reference,Negative selection,0.236,54.869,SRV+Double,9
alternative,test,Diversifying selection,2.961,0.0,SRV+Double,9
alternative,test,Diversifying selection,2.591,0.0,SRV+Double,9
alternative,test,Negative selection,0.166,45.131,SRV+Double,9
alternative,test,Negative selection,0.192,54.869,SRV+Double,9
alternative,test,Negative selection,0.207,45.131,SRV+Double,9
alternative,test,Negative selection,0.236,54.869,SRV+Double,9
null,reference,Diversifying selection,100.524,0.067,SRV+Double,9
null,reference,Negative selection,0.209,36.811,SRV+Double,9
null,reference,Negative selection,0.212,63.123,SRV+Double,9
null,test,Diversifying selection,100.524,0.067,SRV+Double,9
null,test,Negative selection,0.209,36.811,SRV+Double,9
null,test,Negative selection,0.212,63.123,SRV+Double,9
alternative,reference,Diversifying selection,105.418,0.063,SRV+Double,10
alternative,reference,Negative selection,0.207,29.326,SRV+Double,10
alternative,reference,Negative selection,0.223,70.611,SRV+Double,10
alternative,test,Diversifying selection,185.812,0.063,SRV+Double,10
