model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Negative selection,0.0,0.0,SRV,7
alternative,reference,Negative selection,0.222,100.0,SRV,7
alternative,test,Diversifying selection,1.0,0.0,SRV,7
alternative,test,Diversifying selection,1.008,0.0,SRV,7
alternative,test,Negative selection,0.891,0.0,SRV,7
alternative,test,Negative selection,0.983,100.0,SRV,7
alternative,test,Negative selection,0.0,0.0,SRV,7
alternative,test,Negative selection,0.222,100.0,SRV,7
null,reference,Diversifying selection,1.159,0.0,SRV,7
null,reference,Negative selection,0.001,0.0,SRV,7
null,reference,Negative selection,0.231,100.0,SRV,7
null,test,Diversifying selection,1.159,0.0,SRV,7
null,test,Negative selection,0.001,0.0,SRV,7
null,test,Negative selection,0.231,100.0,SRV,7
alternative,reference,Diversifying selection,1.013,0.0,SRV,8
alternative,reference,Negative selection,0.088,0.0,SRV,8
alternative,reference,Negative selection,0.222,100.0,SRV,8
alternative,test,Diversifying selection,1.0,0.0,SRV,8
alternative,test,Diversifying selection,1.013,0.0,SRV,8
alternative,test,Negative selection,0.961,0.0,SRV,8
alternative,test,Negative selection,0.976,100.0,SRV,8
alternative,test,Negative selection,0.088,0.0,SRV,8
alternative,test,Negative selection,0.222,100.0,SRV,8
null,reference,Diversifying selection,1.165,0.0,SRV,8
null,reference,Negative selection,0.08,0.0,SRV,8
null,reference,Negative selection,0.232,100.0,SRV,8
null,test,Diversifying selection,1.165,0.0,SRV,8
null,test,Negative selection,0.08,0.0,SRV,8
null,test,Negative selection,0.232,100.0,SRV,8
alternative,reference,Diversifying selection,1.004,0.0,SRV,9
alternative,reference,Negative selection,0.175,1.56,SRV,9
alternative,reference,Negative selection,0.223,98.44,SRV,9
alternative,test,Diversifying selection,1.0,0.0,SRV,9
alternative,test,Diversifying selection,1.004,0.0,SRV,9
alternative,test,Negative selection,0.978,1.56,SRV,9
alternative,test,Negative selection,0.981,98.44,SRV,9
alternative,test,Negative selection,0.175,1.56,SRV,9
alternative,test,Negative selection,0.223,98.44,SRV,9
null,reference,Diversifying selection,1.084,0.0,SRV,9
null,reference,Negative selection,0.232,100.0,SRV,9
null,reference,Negative selection,0.639,0.0,SRV,9
null,test,Diversifying selection,1.084,0.0,SRV,9
null,test,Negative selection,0.232,100.0,SRV,9
null,test,Negative selection,0.639,0.0,SRV,9
alternative,reference,Diversifying selection,1.121,0.0,SRV,10
alternative,reference,Negative selection,0.001,0.0,SRV,10
alternative,reference,Negative selection,0.221,100.0,SRV,10
alternative,test,Diversifying selection,1.001,0.0,SRV,10
alternative,test,Diversifying selection,1.121,0.0,SRV,10
alternative,test,Negative selection,0.914,0.0,SRV,10
alternative,test,Negative selection,0.982,100.0,SRV,10
alternative,test,Negative selection,0.001,0.0,SRV,10
alternative,test,Negative selection,0.221,100.0,SRV,10
null,reference,Diversifying selection,1.298,0.0,SRV,10
null,reference,Negative selection,0.001,0.0,SRV,10
null,reference,Negative selection,0.232,100.0,SRV,10
null,test,Diversifying selection,1.298,0.0,SRV,10
null,test,Negative selection,0.001,0.0,SRV,10
null,test,Negative selection,0.232,100.0,SRV,10
alternative,reference,Diversifying selection,1.039,0.0,SRV+Double,1
alternative,reference,Negative selection,0.187,27.656,SRV+Double,1
alternative,reference,Negative selection,0.235,72.344,SRV+Double,1
alternative,test,Diversifying selection,1.001,0.0,SRV+Double,1
alternative,test,Diversifying selection,1.039,0.0,SRV+Double,1
alternative,test,Negative selection,0.975,27.656,SRV+Double,1
alternative,test,Negative selection,0.979,72.344,SRV+Double,1
alternative,test,Negative selection,0.187,27.656,SRV+Double,1
alternative,test,Negative selection,0.235,72.344,SRV+Double,1
null,reference,Diversifying selection,1.08,0.0,SRV+Double,1
null,reference,Negative selection,0.207,20.151,SRV+Double,1
null,reference,Negative selection,0.238,79.849,SRV+Double,1
null,test,Diversifying selection,1.08,0.0,SRV+Double,1
null,test,Negative selection,0.207,20.151,SRV+Double,1
null,test,Negative selection,0.238,79.849,SRV+Double,1
alternative,reference,Diversifying selection,1.011,0.0,SRV+Double,2
alternative,reference,Negative selection,0.189,36.672,SRV+Double,2
alternative,reference,Negative selection,0.24,63.328,SRV+Double,2
alternative,test,Diversifying selection,1.0,0.0,SRV+Double,2
alternative,test,Diversifying selection,1.011,0.0,SRV+Double,2
alternative,test,Negative selection,0.976,36.672,SRV+Double,2
alternative,test,Negative selection,0.98,63.328,SRV+Double,2
alternative,test,Negative selection,0.189,36.672,SRV+Double,2
alternative,test,Negative selection,0.24,63.328,SRV+Double,2
null,reference,Diversifying selection,1.08,0.0,SRV+Double,2
null,reference,Negative selection,0.204,30.784,SRV+Double,2
null,reference,Negative selection,0.244,69.216,SRV+Double,2
null,test,Diversifying selection,1.08,0.0,SRV+Double,2
null,test,Negative selection,0.204,30.784,SRV+Double,2
null,test,Negative selection,0.244,69.216,SRV+Double,2
alternative,reference,Diversifying selection,1.014,0.0,SRV+Double,3
alternative,reference,Negative selection,0.217,0.0,SRV+Double,3
alternative,reference,Negative selection,0.222,100.0,SRV+Double,3
alternative,test,Diversifying selection,1.0,0.0,SRV+Double,3
alternative,test,Diversifying selection,1.014,0.0,SRV+Double,3
alternative,test,Negative selection,0.981,0.0,SRV+Double,3
alternative,test,Negative selection,0.981,100.0,SRV+Double,3
alternative,test,Negative selection,0.217,0.0,SRV+Double,3
alternative,test,Negative selection,0.222,100.0,SRV+Double,3
null,reference,Diversifying selection,1.08,0.0,SRV+Double,3
null,reference,Negative selection,0.231,93.498,SRV+Double,3
null,reference,Negative selection,0.242,6.502,SRV+Double,3
null,test,Diversifying selection,1.08,0.0,SRV+Double,3
null,test,Negative selection,0.231,93.498,SRV+Double,3
null,test,Negative selection,0.242,6.502,SRV+Double,3
alternative,reference,Diversifying selection,1.149,0.0,SRV+Double,4
alternative,reference,Negative selection,0.185,27.019,SRV+Double,4
alternative,reference,Negative selection,0.235,72.981,SRV+Double,4
alternative,test,Diversifying selection,1.002,0.0,SRV+Double,4
alternative,test,Diversifying selection,1.149,0.0,SRV+Double,4
alternative,test,Negative selection,0.978,27.019,SRV+Double,4
alternative,test,Negative selection,0.981,72.981,SRV+Double,4
alternative,test,Negative selection,0.185,27.019,SRV+Double,4
alternative,test,Negative selection,0.235,72.981,SRV+Double,4
null,reference,Diversifying selection,1.085,0.0,SRV+Double,4
null,reference,Negative selection,0.203,18.76,SRV+Double,4
null,reference,Negative selection,0.238,81.24,SRV+Double,4
null,test,Diversifying selection,1.085,0.0,SRV+Double,4
null,test,Negative selection,0.203,18.76,SRV+Double,4
null,test,Negative selection,0.238,81.24,SRV+Double,4
alternative,reference,Diversifying selection,1.058,0.0,SRV+Double,5
alternative,reference,Negative selection,0.196,19.416,SRV+Double,5
