model,branch_set,mode,omega,proportion_percent,run_type,replicate
null,reference,Diversifying selection,9.34,4.243,SRV,7
null,reference,Negative selection,0.0,29.983,SRV,7
null,reference,Negative selection,0.0,65.774,SRV,7
null,test,Diversifying selection,9.34,4.243,SRV,7
null,test,Negative selection,0.0,29.983,SRV,7
null,test,Negative selection,0.0,65.774,SRV,7
alternative,reference,Diversifying selection,1.013,0.0,SRV,8
alternative,reference,Negative selection,0.29,100.0,SRV,8
alternative,reference,Negative selection,0.953,0.0,SRV,8
alternative,test,Diversifying selection,1.013,0.0,SRV,8
alternative,test,Negative selection,0.29,100.0,SRV,8
alternative,test,Negative selection,0.953,0.0,SRV,8
alternative,test,Neutral evolution,1.0,100.0,SRV,8
alternative,test,Neutral evolution,1.0,0.0,SRV,8
alternative,test,Neutral evolution,1.0,0.0,SRV,8
null,reference,Diversifying selection,1.114,0.0,SRV,8
null,reference,Negative selection,0.31,100.0,SRV,8
null,reference,Negative selection,0.482,0.0,SRV,8
null,test,Diversifying selection,1.114,0.0,SRV,8
null,test,Negative selection,0.31,100.0,SRV,8
null,test,Negative selection,0.482,0.0,SRV,8
alternative,reference,Diversifying selection,1.127,0.0,SRV,9
alternative,reference,Negative selection,0.289,100.0,SRV,9
alternative,reference,Negative selection,0.923,0.0,SRV,9
alternative,test,Diversifying selection,1.127,0.0,SRV,9
alternative,test,Negative selection,0.289,100.0,SRV,9
alternative,test,Negative selection,0.923,0.0,SRV,9
alternative,test,Neutral evolution,1.0,100.0,SRV,9
alternative,test,Neutral evolution,1.0,0.0,SRV,9
alternative,test,Neutral evolution,1.0,0.0,SRV,9
null,reference,Diversifying selection,1.128,0.0,SRV,9
null,reference,Negative selection,0.31,100.0,SRV,9
null,reference,Negative selection,0.495,0.0,SRV,9
null,test,Diversifying selection,1.128,0.0,SRV,9
null,test,Negative selection,0.31,100.0,SRV,9
null,test,Negative selection,0.495,0.0,SRV,9
alternative,reference,Diversifying selection,1.472,0.0,SRV,10
alternative,reference,Negative selection,0.289,100.0,SRV,10
alternative,reference,Negative selection,0.895,0.0,SRV,10
alternative,test,Diversifying selection,1.472,0.0,SRV,10
alternative,test,Negative selection,0.289,100.0,SRV,10
alternative,test,Negative selection,0.895,0.0,SRV,10
alternative,test,Neutral evolution,1.0,100.0,SRV,10
alternative,test,Neutral evolution,1.0,0.0,SRV,10
alternative,test,Neutral evolution,1.0,0.0,SRV,10
null,reference,Diversifying selection,1.076,0.0,SRV,10
null,reference,Negative selection,0.309,100.0,SRV,10
null,reference,Negative selection,0.627,0.0,SRV,10
null,test,Diversifying selection,1.076,0.0,SRV,10
null,test,Negative selection,0.309,100.0,SRV,10
null,test,Negative selection,0.627,0.0,SRV,10
alternative,reference,Diversifying selection,9.433,3.994,SRV+Double,1
alternative,reference,Negative selection,0.0,33.328,SRV+Double,1
alternative,reference,Negative selection,0.0,62.678,SRV+Double,1
alternative,test,Diversifying selection,911.572,3.994,SRV+Double,1
alternative,test,Diversifying selection,9.433,3.994,SRV+Double,1
alternative,test,Negative selection,0.0,33.328,SRV+Double,1
alternative,test,Negative selection,0.0,62.678,SRV+Double,1
alternative,test,Negative selection,0.0,33.328,SRV+Double,1
alternative,test,Negative selection,0.0,62.678,SRV+Double,1
null,reference,Diversifying selection,9.41,4.226,SRV+Double,1
null,reference,Negative selection,0.0,29.719,SRV+Double,1
null,reference,Negative selection,0.0,66.055,SRV+Double,1
null,test,Diversifying selection,9.41,4.226,SRV+Double,1
null,test,Negative selection,0.0,29.719,SRV+Double,1
null,test,Negative selection,0.0,66.055,SRV+Double,1
alternative,reference,Diversifying selection,2.565,0.0,SRV+Double,2
alternative,reference,Negative selection,0.278,84.423,SRV+Double,2
alternative,reference,Negative selection,0.348,15.577,SRV+Double,2
alternative,test,Diversifying selection,2.565,0.0,SRV+Double,2
alternative,test,Negative selection,0.278,84.423,SRV+Double,2
alternative,test,Negative selection,0.348,15.577,SRV+Double,2
alternative,test,Neutral evolution,1.0,84.423,SRV+Double,2
alternative,test,Neutral evolution,1.0,15.577,SRV+Double,2
alternative,test,Neutral evolution,1.0,0.0,SRV+Double,2
null,reference,Diversifying selection,1.11,0.0,SRV+Double,2
null,reference,Negative selection,0.298,76.258,SRV+Double,2
null,reference,Negative selection,0.347,23.742,SRV+Double,2
null,test,Diversifying selection,1.11,0.0,SRV+Double,2
null,test,Negative selection,0.298,76.258,SRV+Double,2
null,test,Negative selection,0.347,23.742,SRV+Double,2
alternative,reference,Diversifying selection,1.009,0.0,SRV+Double,3
alternative,reference,Negative selection,0.106,0.0,SRV+Double,3
