foreground_id	kind	species_label	descendant_species	descendant_ids	source	species_status
terminal_Okapia_johnstoni	terminal	Okapia johnstoni	"[""Okapia johnstoni""]"	"[""Okapia_johnstoni""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Oryx_dammah	terminal	Oryx dammah	"[""Oryx dammah""]"	"[""Oryx_dammah""]"	refined_species_loss_call	DISRUPTED_HIGH
terminal_Ovibos_moschatus	terminal	Ovibos moschatus	"[""Ovibos moschatus""]"	"[""Ovibos_moschatus""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Ovis_ammon	terminal	Ovis ammon	"[""Ovis ammon""]"	"[""Ovis_ammon""]"	refined_species_loss_call	DISRUPTED_HIGH
terminal_Ovis_aries	terminal	Ovis aries	"[""Ovis aries""]"	"[""Ovis_aries""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Ovis_canadensis	terminal	Ovis canadensis	"[""Ovis canadensis""]"	"[""Ovis_canadensis""]"	refined_species_loss_call	DISRUPTED_HIGH
terminal_Ovis_nivicola	terminal	Ovis nivicola	"[""Ovis nivicola""]"	"[""Ovis_nivicola""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Ovis_orientalis	terminal	Ovis orientalis	"[""Ovis orientalis""]"	"[""Ovis_orientalis""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Ovis_vignei	terminal	Ovis vignei	"[""Ovis vignei""]"	"[""Ovis_vignei""]"	refined_species_loss_call	DISRUPTED_HIGH
terminal_Pantholops_hodgsonii	terminal	Pantholops hodgsonii	"[""Pantholops hodgsonii""]"	"[""Pantholops_hodgsonii""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Pseudois_nayaur	terminal	Pseudois nayaur	"[""Pseudois nayaur""]"	"[""Pseudois_nayaur""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Rangifer_tarandus	terminal	Rangifer tarandus	"[""Rangifer tarandus""]"	"[""Rangifer_tarandus""]"	refined_species_loss_call	DISRUPTED_HIGH
terminal_Rucervus_eldii	terminal	Rucervus eldii	"[""Rucervus eldii""]"	"[""Rucervus_eldii""]"	refined_species_loss_call	DISRUPTED_HIGH
terminal_Rupicapra_rupicapra	terminal	Rupicapra rupicapra	"[""Rupicapra rupicapra""]"	"[""Rupicapra_rupicapra""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Syncerus_caffer	terminal	Syncerus caffer	"[""Syncerus caffer""]"	"[""Syncerus_caffer""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Tragelaphus_eurycerus	terminal	Tragelaphus eurycerus	"[""Tragelaphus eurycerus""]"	"[""Tragelaphus_eurycerus""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Tragulus_kanchil	terminal	Tragulus kanchil	"[""Tragulus kanchil""]"	"[""Tragulus_kanchil""]"	refined_species_loss_call	DISRUPTED_LIKELY
