alignment_source	taxon_id	aligned_nt	aligned_codons	frameshift_characters	internal_stop_codons	terminal_stop_codons	partial_gap_codons	full_gap_codons	ambiguous_codons	valid_sense_codons	valid_sense_fraction
altcost	Capreolus_capreolus	3138	1046	20	4	1	0	132	4	892	0.8527724665391969
altcost	Capricornis_sumatraensis	3138	1046	25	2	0	0	126	13	888	0.8489483747609943
altcost	Budorcas_taxicolor	3138	1046	24	3	0	0	125	13	888	0.8489483747609943
altcost	Capra_hircus	3138	1046	22	4	0	0	129	13	884	0.8451242829827916
altcost	Capra_nubiana	3138	1046	22	4	0	0	129	13	884	0.8451242829827916
altcost	Ovibos_moschatus	3138	1046	26	2	0	0	124	13	889	0.8499043977055449
altcost	Capra_ibex	3138	1046	21	3	0	0	129	13	886	0.847036328871893
altcost	Cervus_nippon	3138	1046	22	2	1	0	121	70	838	0.8011472275334608
altcost	Rucervus_eldii	3138	1046	19	1	1	0	131	64	837	0.8001912045889101
altcost	Sus_scrofa_REF	3138	1046	15	1	1	0	112	0	922	0.8814531548757171
altcost	Equus_caballus	3138	1046	12	1	0	0	114	0	923	0.8824091778202677
altcost	Oryctolagus_cuniculus	3138	1046	12	1	0	0	115	0	922	0.8814531548757171
altcost	Homo_sapiens	3138	1046	15	0	0	0	115	0	921	0.8804971319311663
altcost	Mus_musculus	3138	1046	12	1	0	0	114	0	923	0.8824091778202677
altcost	Rattus_norvegicus	3138	1046	12	2	0	0	114	0	923	0.8824091778202677
altcost	Okapia_johnstoni	3138	1046	17	3	1	0	121	3	905	0.8652007648183556
altcost	Muntiacus_vaginalis	3138	1046	23	3	1	0	132	4	891	0.8518164435946463
altcost	Axis_porcinus	3138	1046	24	3	1	0	128	4	894	0.8546845124282982
altcost	Cervus_elaphus	3138	1046	22	3	1	0	129	64	835	0.7982791586998088
altcost	Cervus_albirostris	3138	1046	20	3	1	0	130	71	828	0.7915869980879541
altcost	Alces_alces	3138	1046	23	4	1	0	130	10	886	0.847036328871893
altcost	Odocoileus_virginianus	3138	1046	22	2	1	0	132	3	893	0.8537284894837476
altcost	Rangifer_tarandus	3138	1046	17	4	1	0	135	3	891	0.8518164435946463
altcost	Moschus_berezovskii	3138	1046	19	6	1	0	129	3	894	0.8546845124282982
altcost	Bubalus_kerabau	3138	1046	8	3	1	0	138	159	738	0.7055449330783938
altcost	Bubalus_bubalis	3138	1046	8	3	1	0	138	159	738	0.7055449330783938
altcost	Syncerus_caffer	3138	1046	10	3	1	0	138	169	727	0.6950286806883366
altcost	Bos_taurus	3138	1046	21	4	1	0	130	19	876	0.8374760994263862
altcost	Bison_bonasus	3138	1046	19	3	1	0	130	70	828	0.7915869980879541
altcost	Cephalophula_zebra	3138	1046	26	3	1	0	126	10	887	0.8479923518164436
altcost	Ovis_aries	3138	1046	25	3	0	0	126	13	886	0.847036328871893
altcost	Ovis_ammon_polii_x_Ovis_aries	3138	1046	25	3	0	0	126	13	886	0.847036328871893
altcost	Ovis_ammon	3138	1046	25	3	0	0	126	13	886	0.847036328871893
altcost	Ovis_orientalis	3138	1046	22	5	0	0	130	14	880	0.8413001912045889
altcost	Nilgiritragus_hylocrius	3138	1046	23	4	0	0	129	20	876	0.8374760994263862
altcost	Rupicapra_rupicapra	3138	1046	25	3	0	0	130	81	815	0.7791586998087954
altcost	Nanger_dama	3138	1046	21	6	1	0	128	58	839	0.8021032504780115
altcost	Tragulus_kanchil	3138	1046	15	0	1	0	105	435	494	0.4722753346080306
altcost	Bos_mutus	3138	1046	21	3	1	0	126	19	882	0.8432122370936902
